Name,Platform,Version
2023-10-10T16:23:58,fontconfig,amd64,2.13.1-4.2ubuntu5
2023-10-10T16:23:58,fontconfig-config,all,2.13.1-4.2ubuntu5
2023-10-10T16:23:58,fonts-beng,all,2:1.3
2023-10-10T16:23:58,fonts-beng-extra,all,3.2.1-1
2023-10-10T16:23:58,fonts-crosextra-caladea,all,20130214-2.1
2023-10-10T16:23:58,fonts-crosextra-carlito,all,20130920-1.1
2023-10-10T16:23:58,fonts-dejavu,all,2.37-2build1
2023-10-10T16:23:58,fonts-dejavu-core,all,2.37-2build1
2023-10-10T16:23:58,fonts-dejavu-extra,all,2.37-2build1
2023-10-10T16:23:58,fonts-deva,all,2:1.3
2023-10-10T16:23:58,fonts-deva-extra,all,3.0-5
2023-10-10T16:23:58,fonts-droid-fallback,all,1:6.0.1r16-1.1build1
2023-10-10T16:23:58,fonts-freefont-ttf,all,20120503-10build1
2023-10-10T16:23:58,fonts-gargi,all,2.0-5
2023-10-10T16:23:58,fonts-gubbi,all,1.3-5build1
2023-10-10T16:23:58,fonts-gujr,all,2:1.4
2023-10-10T16:23:58,fonts-gujr-extra,all,1.0.1-1
2023-10-10T16:23:58,fonts-guru,all,2:1.3
2023-10-10T16:23:58,fonts-guru-extra,all,2.0-5
2023-10-10T16:23:58,fonts-indic,all,2:1.4
2023-10-10T16:23:58,fonts-kacst,all,2.01+mry-15
2023-10-10T16:23:58,fonts-kacst-one,all,5.0+svn11846-10
2023-10-10T16:23:58,fonts-kalapi,all,1.0-4
2023-10-10T16:23:58,fonts-khmeros-core,all,5.0-9ubuntu1
2023-10-10T16:23:58,fonts-knda,all,2:1.3
2023-10-10T16:23:58,fonts-lao,all,0.0.20060226-10ubuntu2
2023-10-10T16:23:58,fonts-liberation,all,1:1.07.4-11
2023-10-10T16:23:58,fonts-liberation2,all,2.1.5-1
2023-10-10T16:23:58,fonts-linuxlibertine,all,5.3.0-6
2023-10-10T16:23:58,fonts-lklug-sinhala,all,0.6-4
2023-10-10T16:23:58,fonts-lohit-beng-assamese,all,2.91.5-2
2023-10-10T16:23:58,fonts-lohit-beng-bengali,all,2.91.5-2
2023-10-10T16:23:58,fonts-lohit-deva,all,2.95.4-4
2023-10-10T16:23:58,fonts-lohit-gujr,all,2.92.4-4
2023-10-10T16:23:58,fonts-lohit-guru,all,2.91.2-2build1
2023-10-10T16:23:58,fonts-lohit-knda,all,2.5.4-3
2023-10-10T16:23:58,fonts-lohit-mlym,all,2.92.2-2
2023-10-10T16:23:58,fonts-lohit-orya,all,2.91.2-2
2023-10-10T16:23:58,fonts-lohit-taml,all,2.91.3-2
2023-10-10T16:23:58,fonts-lohit-taml-classical,all,2.5.4-2
2023-10-10T16:23:58,fonts-lohit-telu,all,2.5.5-2build1
2023-10-10T16:23:58,fonts-mlym,all,2:1.3
2023-10-10T16:23:58,fonts-nakula,all,1.0-4
2023-10-10T16:23:58,fonts-navilu,all,1.2-3
2023-10-10T16:23:58,fonts-noto-cjk,all,1:20220127+repack1-1
2023-10-10T16:23:58,fonts-noto-color-emoji,all,2.038-0ubuntu1
2023-10-10T16:23:58,fonts-noto-core,all,20201225-1build1
2023-10-10T16:23:58,fonts-noto-extra,all,20201225-1build1
2023-10-10T16:23:58,fonts-noto-mono,all,20201225-1build1
2023-10-10T16:23:58,fonts-noto-ui-core,all,20201225-1build1
2023-10-10T16:23:58,fonts-opensymbol,all,2:102.12+LibO7.3.7-0ubuntu0.22.04.3
2023-10-10T16:23:58,fonts-orya,all,2:1.3
2023-10-10T16:23:58,fonts-orya-extra,all,2.0-6
2023-10-10T16:23:58,fonts-pagul,all,1.0-8
2023-10-10T16:23:58,fonts-sahadeva,all,1.0-5
2023-10-10T16:23:58,fonts-samyak-deva,all,1.2.2-5build1
2023-10-10T16:23:58,fonts-samyak-gujr,all,1.2.2-5build1
2023-10-10T16:23:58,fonts-samyak-mlym,all,1.2.2-5build1
2023-10-10T16:23:58,fonts-samyak-taml,all,1.2.2-5build1
2023-10-10T16:23:58,fonts-sarai,all,1.0-3
2023-10-10T16:23:58,fonts-sil-abyssinica,all,2.100-3
2023-10-10T16:23:58,fonts-sil-gentium,all,20081126:1.03-4
2023-10-10T16:23:58,fonts-sil-gentium-basic,all,1.102-1.1
2023-10-10T16:23:58,fonts-sil-padauk,all,5.000-3
2023-10-10T16:23:58,fonts-smc,all,1:7.2
2023-10-10T16:23:58,fonts-smc-anjalioldlipi,all,7.1.2-2
2023-10-10T16:23:58,fonts-smc-chilanka,all,1.540-1
2023-10-10T16:23:58,fonts-smc-dyuthi,all,3.0.2-2
2023-10-10T16:23:58,fonts-smc-gayathri,all,1.110-2-1
2023-10-10T16:23:58,fonts-smc-karumbi,all,1.1.2-2
2023-10-10T16:23:58,fonts-smc-keraleeyam,all,3.0.2-2
2023-10-10T16:23:58,fonts-smc-manjari,all,2.000-3
2023-10-10T16:23:58,fonts-smc-meera,all,7.0.3-1
2023-10-10T16:23:58,fonts-smc-rachana,all,7.0.2-1build1
2023-10-10T16:23:58,fonts-smc-raghumalayalamsans,all,2.2.1-1
2023-10-10T16:23:58,fonts-smc-suruma,all,3.2.3-1
2023-10-10T16:23:58,fonts-smc-uroob,all,2.0.2-1
2023-10-10T16:23:58,fonts-taml,all,2:1.4
2023-10-10T16:23:58,fonts-telu,all,2:1.3
2023-10-10T16:23:58,fonts-telu-extra,all,2.0-5
2023-10-10T16:23:58,fonts-teluguvijayam,all,2.1-1
2023-10-10T16:23:58,fonts-thai-tlwg,all,1:0.7.3-1
2023-10-10T16:23:58,fonts-tibetan-machine,all,1.901b-6
2023-10-10T16:23:58,fonts-tlwg-garuda,all,1:0.7.3-1
2023-10-10T16:23:58,fonts-tlwg-garuda-ttf,all,1:0.7.3-1
2023-10-10T16:23:58,fonts-tlwg-kinnari,all,1:0.7.3-1
2023-10-10T16:23:58,fonts-tlwg-kinnari-ttf,all,1:0.7.3-1
2023-10-10T16:23:58,fonts-tlwg-laksaman,all,1:0.7.3-1
2023-10-10T16:23:58,fonts-tlwg-laksaman-ttf,all,1:0.7.3-1
2023-10-10T16:23:58,fonts-tlwg-loma,all,1:0.7.3-1
2023-10-10T16:23:58,fonts-tlwg-loma-ttf,all,1:0.7.3-1
2023-10-10T16:23:58,fonts-tlwg-mono,all,1:0.7.3-1
2023-10-10T16:23:58,fonts-tlwg-mono-ttf,all,1:0.7.3-1
2023-10-10T16:23:58,fonts-tlwg-norasi,all,1:0.7.3-1
2023-10-10T16:23:58,fonts-tlwg-norasi-ttf,all,1:0.7.3-1
2023-10-10T16:23:58,fonts-tlwg-purisa,all,1:0.7.3-1
2023-10-10T16:23:58,fonts-tlwg-purisa-ttf,all,1:0.7.3-1
2023-10-10T16:23:58,fonts-tlwg-sawasdee,all,1:0.7.3-1
2023-10-10T16:23:58,fonts-tlwg-sawasdee-ttf,all,1:0.7.3-1
2023-10-10T16:23:58,fonts-tlwg-typewriter,all,1:0.7.3-1
2023-10-10T16:23:58,fonts-tlwg-typewriter-ttf,all,1:0.7.3-1
2023-10-10T16:23:58,fonts-tlwg-typist,all,1:0.7.3-1
2023-10-10T16:23:58,fonts-tlwg-typist-ttf,all,1:0.7.3-1
2023-10-10T16:23:58,fonts-tlwg-typo,all,1:0.7.3-1
2023-10-10T16:23:58,fonts-tlwg-typo-ttf,all,1:0.7.3-1
2023-10-10T16:23:58,fonts-tlwg-umpush,all,1:0.7.3-1
2023-10-10T16:23:58,fonts-tlwg-umpush-ttf,all,1:0.7.3-1
2023-10-10T16:23:58,fonts-tlwg-waree,all,1:0.7.3-1
2023-10-10T16:23:58,fonts-tlwg-waree-ttf,all,1:0.7.3-1
2023-10-10T16:23:58,fonts-ubuntu,all,0.83-6ubuntu1
2023-10-10T16:23:58,fonts-urw-base35,all,20200910-1
2023-10-10T16:23:58,fonts-yrsa-rasa,all,2.005-1
2023-10-10T16:23:58,foomatic-db-compressed-ppds,all,20220223-0ubuntu1
2023-10-10T16:23:58,fprintd,amd64,1.94.2-1ubuntu0.22.04.1
2023-10-10T16:23:58,friendly-recovery,all,0.2.42
2023-10-10T16:23:58,ftp,all,20210827-4build1
2023-10-10T16:23:58,fuse,amd64,2.9.9-5ubuntu2
2023-10-10T16:23:58,fuse3,amd64,3.10.5-1build1
2023-10-10T16:23:58,fwupd,amd64,1.7.9-1~22.04.3
2023-10-10T16:23:58,fwupd-signed,amd64,1.51.1~22.04.1+1.4-0ubuntu0.1
2023-10-10T16:23:58,fzf,amd64,0.29.0-1
2023-10-10T16:23:58,g++,amd64,4:11.2.0-1ubuntu1
2023-10-10T16:23:58,g++-11,amd64,11.4.0-1ubuntu1~22.04
2023-10-10T16:23:58,gamemode,amd64,1.6.1-1build2
2023-10-10T16:23:58,gamemode-daemon,amd64,1.6.1-1build2
2023-10-10T16:23:58,gamin,amd64,0.1.10-6
2023-10-10T16:23:58,gcc,amd64,4:11.2.0-1ubuntu1
2023-10-10T16:23:58,gcc-11,amd64,11.4.0-1ubuntu1~22.04
2023-10-10T16:23:58,gcc-11-base,amd64,11.4.0-1ubuntu1~22.04
